main_rank,rank,source,model_type,feature_set,classifier,threshold_method,decision_threshold,n_features,model_path,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,selection_score,uses_age
11,27,basic_fusion_before_improvements,Fusion model,A_cnn_plus_mri_proxy,logistic_regression,optimized_on_validation_f1,0.45,14,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_A_cnn_plus_mri_proxy_logistic_regression.joblib,0.75,0.6808510638297872,0.8421052631578947,0.7529411764705882,0.8026315789473685,0.6881720430107527,0.6818181818181818,0.6666666666666666,0.6741573033707865,0.7421296296296297,0.7877244582043343,False
12,28,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_selected_mri_proxy,mlp_classifier,default_threshold_0.50,0.5,6,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_selected_mri_proxy_mlp_classifier.joblib,0.7380952380952381,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.8192219679633868,0.6559139784946236,0.6666666666666666,0.5777777777777777,0.6190476190476191,0.7518518518518518,0.7866132723112128,False
13,29,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,logistic_regression_robust,default_threshold_0.50,0.5,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_logistic_regression_robust.joblib,0.7261904761904762,0.6595744680851063,0.8157894736842105,0.7294117647058823,0.808924485125858,0.7204301075268817,0.7209302325581395,0.6888888888888889,0.7045454545454546,0.7837962962962963,0.7850706689998652,False
14,30,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,random_forest,default_threshold_0.50,0.5,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_random_forest.joblib,0.7619047619047619,0.7045454545454546,0.8157894736842105,0.7560975609756098,0.797482837528604,0.6774193548387096,0.6923076923076923,0.6,0.6428571428571429,0.7402777777777778,0.7850672545627057,False
15,31,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,random_forest,optimized_on_validation_f1,0.49,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_random_forest.joblib,0.7619047619047619,0.7045454545454546,0.8157894736842105,0.7560975609756098,0.797482837528604,0.6666666666666666,0.675,0.6,0.6352941176470588,0.7402777777777778,0.7850672545627057,False
16,32,ensemble_top_cnn_fusion,Fusion model,A_ensemble_cnn_probs_plus_mri_proxy,mlp_classifier,optimized_on_validation_f1,0.38,16,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_A_ensemble_cnn_probs_plus_mri_proxy_mlp_classifier.joblib,0.7380952380952381,0.66,0.868421052631579,0.75,0.7917620137299771,0.6989247311827957,0.6666666666666666,0.7555555555555555,0.7083333333333334,0.7671296296296296,0.779233409610984,False
17,33,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,svc_rbf,optimized_on_validation_f1,0.17,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_svc_rbf.joblib,0.7261904761904762,0.6530612244897959,0.8421052631578947,0.735632183908046,0.7977688787185354,0.6881720430107527,0.6481481481481481,0.7777777777777778,0.7070707070707071,0.7712962962962964,0.7791278702753885,False
18,34,basic_fusion_before_improvements,Fusion model,B_cnn_plus_mri_proxy_plus_non_age_metadata,gradient_boosting,optimized_on_validation_f1,0.18,17,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/fusion_B_cnn_plus_mri_proxy_plus_non_age_metadata_gradient_boosting.joblib,0.75,0.6666666666666666,0.8947368421052632,0.7640449438202247,0.7854691075514874,0.6989247311827957,0.660377358490566,0.7777777777777778,0.7142857142857143,0.7439814814814815,0.7790418584321085,False
19,35,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata,mlp_classifier,optimized_on_validation_f1,0.26,19,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_mri_proxy_plus_non_age_metadata_mlp_classifier.joblib,0.7142857142857143,0.625,0.9210526315789473,0.7446808510638298,0.7934782608695652,0.6559139784946236,0.6031746031746031,0.8444444444444444,0.7037037037037037,0.7870370370370371,0.7788390379278445,False
20,36,ensemble_top_cnn_fusion,Fusion model,B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata,svc_rbf,optimized_on_validation_f1,0.32,9,/kaggle/working/oasis1_oasis2_alzheimer_cv_fusion/artifacts/ensemble_fusion_B_ensemble_cnn_probs_plus_selected_mri_proxy_plus_non_age_metadata_svc_rbf.joblib,0.7380952380952381,0.6739130434782609,0.8157894736842105,0.7380952380952381,0.7951945080091534,0.7204301075268817,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7694444444444445,0.7780647270349788,False
