variable,n_patients,mean_delta,median_delta,std_delta,n_increased,n_decreased,n_unchanged
mr_delay,150,1068.5466666666666,846.0,539.7360725474521,150,0,0
mmse,149,-0.8053691275167785,0.0,2.451358840904017,38,73,38
cdr,150,0.09666666666666666,0.0,0.24368994126150498,29,3,118
cnn_ad_probability,150,-0.0037136099543810517,-0.0013218377716839175,0.11713568103245237,74,76,0
final_probability,150,-0.006003389953853214,0.0030265646238165655,0.2168623282699109,78,72,0
brain_volume_ratio_proxy,150,0.02128990332285563,0.00033730268478393555,0.04771543072993152,87,63,0
brain_voxel_count_proxy,150,178592.65333333332,2829.5,400266.0439445494,87,63,0
central_slice_area_mean,150,0.020760730107625327,0.0010370314121246338,0.047048272274438134,88,62,0
nwbv,150,-0.013371220000000001,-0.012028499999999942,0.013608873815336263,22,128,0
